dst_port,protocol,duration,total_bytes,total_packets,fwd_pkts,fwd_bytes,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_min,fwd_pkt_len_max,fwd_iat_mean,fwd_iat_std,fwd_iat_min,fwd_iat_max,fwd_syn,fwd_ack,fwd_fin,fwd_rst,fwd_psh,fwd_urg,bwd_pkts,bwd_bytes,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_min,bwd_pkt_len_max,bwd_iat_mean,bwd_iat_std,bwd_iat_min,bwd_iat_max,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_psh,bwd_urg,bytes_per_second,packets_per_second,fwd_bytes_per_second,bwd_bytes_per_second,down_up_ratio,flow_pkt_asymmetry,flow_byte_asymmetry,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_q1,pkt_len_q3,pkt_len_skew,pkt_len_entropy,small_pkt_ratio,large_pkt_ratio,iat_mean,iat_std,iat_min,iat_max,burstiness,burst_count,mean_burst_duration,direction_switches,src_port_ephemeral,is_well_known_dst_port,is_complete_handshake,handshake_ratio,has_tls,tls_version,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,fingerprint_source,has_sni,cipher_suite,dns_query_count,dns_query_types,dns_unique_queries,http_request_count,http_unique_hosts,http_unique_uris,label,fingerprint_final,fingerprint_method
443,TCP,0.414215,4391,18,9,1069,118.7778,96.0599,54.0,331.0,0.051777,0.060601,5.2e-05,0.153464,1,7,1,2,3,0,9,3322,369.1111,469.2259,54.0,1514.0,0.051752,0.060687,1.9e-05,0.153806,1,9,1,0,4,0,10600.775,43.4557,2580.7853,8019.9896,3.1047,0.0,-0.5131,243.9444,361.0636,54.0,1514.0,54.0,210.5,2.5105,2.7255,0.5556,0.0556,0.024366,0.04884,1.5e-05,0.153464,2.0045,1,0.414215,10,1,1,1,0.1111,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.058407,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.007301,0.008833,6.7e-05,0.021247,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.008309,0.009122,1.5e-05,0.02101,1,8,1,0,4,0,74802.6778,291.061,18850.4803,55952.1975,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.00365,0.007186,1.5e-05,0.02101,1.9686,1,0.058407,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038559,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005508,0.008076,0.000184,0.021922,1,7,0,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006356,0.008503,2.5e-05,0.021695,1,7,1,0,4,0,110505.9779,389.0142,27153.1938,83352.784,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002754,0.006277,2.5e-05,0.021695,2.279,1,0.038559,8,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.037885,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005412,0.008064,9.3e-05,0.021719,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006284,0.008478,3.7e-05,0.021553,1,7,1,0,4,0,112471.9546,395.9351,27636.2677,84835.6869,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002706,0.006265,1.9e-05,0.021553,2.3151,1,0.037885,8,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.03797,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005424,0.008087,0.000155,0.021934,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006299,0.008477,3.6e-05,0.021707,1,7,0,0,4,0,112220.1738,395.0487,27574.4008,84645.773,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002712,0.006267,3.6e-05,0.021707,2.3109,1,0.03797,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038854,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004857,0.007892,0.000101,0.022284,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005515,0.008288,2.8e-05,0.022034,1,8,1,0,4,0,112446.5949,437.5354,28336.8508,84109.7442,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002428,0.006023,2.3e-05,0.022034,2.4802,1,0.038854,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038668,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004834,0.007899,9.9e-05,0.022188,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005488,0.008282,1.4e-05,0.02196,1,8,1,0,4,0,112987.4832,439.64,28473.1561,84514.3271,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002417,0.006029,1.4e-05,0.02196,2.4947,1,0.038668,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038317,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.00479,0.007765,5.5e-05,0.021916,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005443,0.008118,1.9e-05,0.021574,1,8,1,0,4,0,114022.4965,443.6673,28733.9823,85288.5142,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002395,0.005907,1.9e-05,0.021574,2.4664,1,0.038317,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.039744,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005678,0.008468,0.000157,0.022924,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006597,0.008893,2.9e-05,0.022762,1,7,0,0,4,0,107211.1514,377.4155,26343.599,80867.5523,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002839,0.006581,2.9e-05,0.022762,2.3183,1,0.039744,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.037553,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004694,0.00764,4.9e-05,0.021314,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005336,0.008036,2.4e-05,0.021163,1,8,1,0,4,0,116342.2363,452.6935,29318.5631,87023.6732,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002347,0.005851,2.1e-05,0.021163,2.4928,1,0.037553,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
