dst_port,protocol,duration,total_bytes,total_packets,fwd_pkts,fwd_bytes,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_min,fwd_pkt_len_max,fwd_iat_mean,fwd_iat_std,fwd_iat_min,fwd_iat_max,fwd_syn,fwd_ack,fwd_fin,fwd_rst,fwd_psh,fwd_urg,bwd_pkts,bwd_bytes,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_min,bwd_pkt_len_max,bwd_iat_mean,bwd_iat_std,bwd_iat_min,bwd_iat_max,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_psh,bwd_urg,bytes_per_second,packets_per_second,fwd_bytes_per_second,bwd_bytes_per_second,down_up_ratio,flow_pkt_asymmetry,flow_byte_asymmetry,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_q1,pkt_len_q3,pkt_len_skew,pkt_len_entropy,small_pkt_ratio,large_pkt_ratio,iat_mean,iat_std,iat_min,iat_max,burstiness,burst_count,mean_burst_duration,direction_switches,src_port_ephemeral,is_well_known_dst_port,is_complete_handshake,handshake_ratio,has_tls,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,fingerprint_source,has_sni,cipher_suite,dns_query_count,dns_query_types,dns_unique_queries,http_request_count,http_unique_hosts,http_unique_uris,label,fingerprint_final,fingerprint_method
443,TCP,1.660279,8305,25,11,3420,310.9091,257.7488,60.0,640.0,0.166028,0.134567,0.001859,0.518175,1,10,0,0,7,0,14,4885,348.9286,388.2265,54.0,1342.0,0.101133,0.078167,6.4e-05,0.189019,1,14,0,0,6,0,5002.1712,15.0577,2059.8947,2942.2765,1.4279,-0.12,-0.1764,332.2,337.6246,54.0,1342.0,60.0,640.0,1.135,2.9672,0.44,0.04,0.069178,0.077843,6.4e-05,0.201931,1.1252,1,1.660279,16,1,1,0,0.08,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,3.469775,8930,22,11,3408,309.8182,257.8265,60.0,640.0,0.346977,0.495927,0.000934,1.737833,1,10,0,0,7,0,11,5522,502.0,441.7216,54.0,1342.0,0.313523,0.376016,0.000151,1.392836,1,11,0,0,6,0,2573.6539,6.3405,982.1963,1591.4577,1.6198,0.0,-0.2367,405.9091,374.2055,54.0,1342.0,61.5,640.0,0.7745,3.043,0.3636,0.0909,0.165227,0.2973,0.000151,1.392836,1.7993,2,1.03847,16,1,1,0,0.0909,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,0.968143,43075,62,25,8986,359.44,442.4671,60.0,1342.0,0.035815,0.042682,0.000122,0.1166,1,24,0,0,8,0,37,34089,921.3243,557.8337,54.0,1342.0,0.024905,0.040376,4.4e-05,0.1235,1,37,0,0,6,0,44492.3948,64.0401,9281.6868,35210.708,3.7931,-0.1935,-0.5828,694.7581,583.6243,54.0,1342.0,60.0,1342.0,0.0284,2.6363,0.371,0.4194,0.015871,0.029619,9e-06,0.110064,1.8662,1,0.968143,31,1,1,0,0.0323,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.778247,43385,63,26,9047,347.9615,437.6745,60.0,1342.0,0.062428,0.079563,0.000122,0.212316,1,25,0,0,8,0,37,34338,928.0541,525.7505,54.0,1342.0,0.044999,0.076682,4.1e-05,0.236628,1,37,0,0,10,0,24397.6214,35.4281,5087.5944,19310.0271,3.7951,-0.1746,-0.5829,688.6508,568.2925,54.0,1342.0,60.0,1342.0,0.1071,2.7423,0.3175,0.3968,0.028681,0.062438,4.1e-05,0.21754,2.177,1,1.778247,39,1,1,0,0.0317,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.801214,42543,63,27,9100,337.037,432.9507,60.0,1342.0,0.061973,0.077434,0.000129,0.190326,1,26,0,0,8,0,36,33443,928.9722,538.5376,54.0,1342.0,0.047361,0.073626,3.9e-05,0.199675,1,36,0,0,9,0,23619.0705,34.9764,5052.1482,18566.9223,3.6747,-0.1429,-0.5722,675.2857,576.0821,54.0,1342.0,60.0,1342.0,0.1023,2.7763,0.3651,0.3968,0.029052,0.059954,1.6e-05,0.190068,2.0637,1,1.801214,33,1,1,0,0.0317,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,2.747465,41603,61,25,8979,359.16,442.5119,60.0,1342.0,0.102948,0.121178,0.000125,0.283058,1,24,0,0,8,0,36,32624,906.2222,547.666,54.0,1342.0,0.071745,0.112977,4.1e-05,0.286269,1,36,0,0,9,0,15142.3227,22.2023,3268.1036,11874.2191,3.633,-0.1803,-0.5683,682.0164,574.153,54.0,1342.0,60.0,1342.0,0.1022,2.7641,0.3443,0.3934,0.045791,0.094941,1.1e-05,0.282699,2.0734,1,2.747465,33,1,1,0,0.0328,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.811653,43114,63,27,9103,337.1481,432.938,60.0,1342.0,0.062311,0.076939,0.000122,0.196477,1,26,0,0,8,0,36,34011,944.75,543.7655,54.0,1342.0,0.047285,0.073319,4.2e-05,0.199175,1,36,0,0,7,0,23798.1569,34.7749,5024.6932,18773.4637,3.7358,-0.1429,-0.5777,684.3492,582.8391,54.0,1342.0,60.0,1342.0,0.0533,2.7106,0.381,0.4127,0.02922,0.059748,3.3e-05,0.196023,2.0447,1,1.811653,29,1,1,0,0.0317,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.856958,37911,55,24,8349,347.875,447.7773,60.0,1342.0,0.080737,0.086441,0.000125,0.277322,1,23,0,0,7,0,31,29562,953.6129,535.7851,54.0,1342.0,0.048055,0.072339,4.1e-05,0.200609,1,31,0,0,6,0,20415.6485,29.6183,4496.0631,15919.5854,3.5404,-0.1273,-0.5595,689.2909,582.6983,54.0,1342.0,60.0,1342.0,0.0557,2.6644,0.3636,0.4182,0.034388,0.064162,2.3e-05,0.277322,1.8658,1,1.856958,30,1,1,0,0.0364,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,2.21331,42138,65,29,9248,318.8966,423.1027,60.0,1342.0,0.071633,0.087443,0.0,0.230593,1,28,0,0,8,0,36,32890,913.6111,552.3591,54.0,1342.0,0.058401,0.081811,3.9e-05,0.213031,1,36,0,0,9,0,19038.4537,29.3678,4178.3573,14860.0964,3.5561,-0.1077,-0.5611,648.2769,579.8649,54.0,1342.0,60.0,1342.0,0.1843,2.8098,0.4,0.3846,0.034583,0.06711,0.0,0.207594,1.9406,1,2.21331,27,1,1,0,0.0308,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,0.930695,43347,63,27,9110,337.4074,432.9112,60.0,1342.0,0.03176,0.039709,0.000121,0.112918,1,26,0,0,8,0,36,34237,951.0278,544.7613,54.0,1342.0,0.024806,0.043111,4.2e-05,0.158044,1,36,0,0,6,0,46574.8686,67.6913,9788.3834,36786.4853,3.7578,-0.1429,-0.5797,688.0476,584.9024,54.0,1342.0,60.0,1342.0,0.0752,2.5831,0.3651,0.4127,0.015011,0.02864,2e-06,0.108189,1.9079,1,0.930695,31,1,1,0,0.0317,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
